2015-05-04 21:44:47.310848 |      MouseMoveHooker |           NSMouseMoved | y=1062.75390625 x=484.91796875
2015-05-04 21:44:47.493247 |      MouseMoveHooker |           NSMouseMoved | y=1059.75390625 x=484.91796875
2015-05-04 21:44:47.510468 |      MouseMoveHooker |           NSMouseMoved | y=1037.859375 x=485.9609375
2015-05-04 21:44:47.527703 |      MouseMoveHooker |           NSMouseMoved | y=1003.45703125 x=488.04296875
2015-05-04 21:44:47.544622 |      MouseMoveHooker |           NSMouseMoved | y=946.1171875 x=494.30078125
2015-05-04 21:44:47.562227 |      MouseMoveHooker |           NSMouseMoved | y=871.05859375 x=498.46875
2015-05-04 21:44:47.579127 |      MouseMoveHooker |           NSMouseMoved | y=826.23046875 x=502.640625
2015-05-04 21:44:47.596093 |      MouseMoveHooker |           NSMouseMoved | y=795.953125 x=504.7265625
2015-05-04 21:44:47.612600 |      MouseMoveHooker |           NSMouseMoved | y=766.7734375 x=506.80859375
2015-05-04 21:44:47.629710 |      MouseMoveHooker |           NSMouseMoved | y=746.97265625 x=507.8515625
2015-05-04 21:44:47.821560 |      MouseMoveHooker |           NSMouseMoved | y=739.67578125 x=509.93359375
2015-05-04 21:44:47.840161 |      MouseMoveHooker |           NSMouseMoved | y=715.70703125 x=517.23046875
2015-05-04 21:44:47.856761 |      MouseMoveHooker |           NSMouseMoved | y=686.52734375 x=524.52734375
2015-05-04 21:44:47.873599 |      MouseMoveHooker |           NSMouseMoved | y=622.95703125 x=538.07421875
2015-05-04 21:44:47.890322 |      MouseMoveHooker |           NSMouseMoved | y=580.2265625 x=543.28515625
2015-05-04 21:44:47.907556 |      MouseMoveHooker |           NSMouseMoved | y=535.4140625 x=546.41015625
2015-05-04 21:44:47.925433 |      MouseMoveHooker |           NSMouseMoved | y=503.10546875 x=546.41015625
2015-05-04 21:44:47.942669 |      MouseMoveHooker |           NSMouseMoved | y=486.43359375 x=542.2421875
2015-05-04 21:44:48.204631 |         ScreenHooker |        NSLeftMouseDown | name= h=38.0 y=-38.0 w=1280.0 owner=iTerm x=0.0
2015-05-04 21:44:48.204708 |    MouseButtonHooker |        NSLeftMouseDown | y=486.43359375 x=542.2421875
2015-05-04 21:44:48.238563 |    MouseButtonHooker |          NSLeftMouseUp | y=486.43359375 x=542.2421875
2015-05-04 21:44:49.417501 |            KeyHooker |              NSKeyDown | char=$$ mods=[] key=$$ is_repeat=False
2015-05-04 21:44:49.514050 |            KeyHooker |              NSKeyDown | char=$$ mods=[] key=$$ is_repeat=False
2015-05-04 21:44:49.537998 |            KeyHooker |                NSKeyUp | char=$$ mods=[] key=$$ is_repeat=False
2015-05-04 21:44:49.642080 |            KeyHooker |                NSKeyUp | char=$$ mods=[] key=$$ is_repeat=False
2015-05-04 21:44:49.660028 |            KeyHooker |              NSKeyDown | char=$$ mods=[] key=$$ is_repeat=False
2015-05-04 21:44:49.783731 |            KeyHooker |              NSKeyDown | char=$$ mods=[] key=$$ is_repeat=False
2015-05-04 21:44:49.889923 |            KeyHooker |                NSKeyUp | char=$$ mods=[] key=$$ is_repeat=False
2015-05-04 21:44:49.912997 |            KeyHooker |              NSKeyDown | char=$$ mods=[] key=$$ is_repeat=False
2015-05-04 21:44:49.937945 |            KeyHooker |                NSKeyUp | char=$$ mods=[] key=$$ is_repeat=False
2015-05-04 21:44:50.002380 |            KeyHooker |              NSKeyDown | char=  mods=[] key=49 is_repeat=False
