2015-05-01 14:15:57.215177 |      MouseMoveHooker |           NSMouseMoved | y=1613.60546875 x=1160.33203125
2015-05-01 14:15:57.238693 |      MouseMoveHooker |           NSMouseMoved | y=1613.60546875 x=1159.2890625
2015-05-01 14:15:57.254512 |      MouseMoveHooker |           NSMouseMoved | y=1614.60546875 x=1159.2890625
2015-05-01 14:15:57.635598 |    MouseButtonHooker |        NSLeftMouseDown | y=1614.60546875 x=1159.2890625
2015-05-01 14:15:57.749643 |         ScreenHooker |          NSLeftMouseUp | name=/Users/fnokeke/dev/info6010/keystroke-dynamics/data/foreground_app h=835.0 y=-912.0 w=1011.0 owner=Finder x=504.0
2015-05-01 14:15:57.749706 |    MouseButtonHooker |          NSLeftMouseUp | y=1614.60546875 x=1159.2890625
2015-05-01 14:15:57.813713 |    MouseButtonHooker |        NSLeftMouseDown | y=1614.60546875 x=1159.2890625
2015-05-01 14:15:57.976339 |    MouseButtonHooker |          NSLeftMouseUp | y=1614.60546875 x=1159.2890625
2015-05-01 14:15:58.597333 |         ScreenHooker |           NSMouseMoved | name=1430503497.txt h=412.0 y=-1024.0 w=640.0 owner=TextEdit x=-431.0
2015-05-01 14:15:58.597392 |      MouseMoveHooker |           NSMouseMoved | y=1614.60546875 x=1157.2890625
2015-05-01 14:15:58.609825 |      MouseMoveHooker |           NSMouseMoved | y=1614.60546875 x=1145.8203125
2015-05-01 14:15:58.626806 |      MouseMoveHooker |           NSMouseMoved | y=1615.64453125 x=1116.62890625
2015-05-01 14:15:58.644327 |      MouseMoveHooker |           NSMouseMoved | y=1619.81640625 x=1072.84375
2015-05-01 14:15:58.663023 |      MouseMoveHooker |           NSMouseMoved | y=1627.11328125 x=1022.8046875
2015-05-01 14:15:58.680179 |      MouseMoveHooker |           NSMouseMoved | y=1632.328125 x=990.484375
2015-05-01 14:15:58.695337 |      MouseMoveHooker |           NSMouseMoved | y=1637.5390625 x=967.55078125
2015-05-01 14:15:58.713921 |      MouseMoveHooker |           NSMouseMoved | y=1641.015625 x=952.95703125
2015-05-01 14:15:58.729346 |      MouseMoveHooker |           NSMouseMoved | y=1643.09765625 x=945.65625
2015-05-01 14:15:58.748331 |      MouseMoveHooker |           NSMouseMoved | y=1644.140625 x=943.57421875
2015-05-01 14:15:58.971631 |      MouseMoveHooker |           NSMouseMoved | y=1644.140625 x=933.1484375
2015-05-01 14:15:58.986505 |      MouseMoveHooker |           NSMouseMoved | y=1644.140625 x=879.98046875
2015-05-01 14:15:59.004911 |      MouseMoveHooker |           NSMouseMoved | y=1644.140625 x=729.85546875
2015-05-01 14:15:59.022814 |      MouseMoveHooker |           NSMouseMoved | y=1651.4375 x=543.24609375
2015-05-01 14:15:59.041197 |      MouseMoveHooker |           NSMouseMoved | y=1674.375 x=415.015625
2015-05-01 14:15:59.055609 |      MouseMoveHooker |           NSMouseMoved | y=1699.39453125 x=323.2734375
2015-05-01 14:15:59.073782 |      MouseMoveHooker |           NSMouseMoved | y=1710.86328125 x=295.125
